GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
G07-EsiMedia-PI-User-Backend,com.esimedia.features.user_management.http,UserPreferencesController,94,0,6,0,19,0,9,0,6,0
G07-EsiMedia-PI-User-Backend,com.esimedia.features.user_management.http,ManagementController,902,0,30,0,208,0,41,0,26,0
G07-EsiMedia-PI-User-Backend,com.esimedia.features.user_management.http,UserManagementController,62,0,0,0,17,0,4,0,4,0
G07-EsiMedia-PI-User-Backend,com.esimedia.features.notifications.dto,NotificationDTO,0,27,0,0,0,1,0,1,0,1
G07-EsiMedia-PI-User-Backend,com.esimedia.features.notifications.entity,Notification,83,489,57,41,0,24,47,38,0,36
G07-EsiMedia-PI-User-Backend,com.esimedia.features.notifications.entity,Notification.NotificationBuilder,31,121,0,6,0,1,1,17,1,14
G07-EsiMedia-PI-User-Backend,com.esimedia.features.content.dto,ContentUpdateDTO,296,44,62,0,1,9,38,13,7,13
G07-EsiMedia-PI-User-Backend,com.esimedia.features.content.dto,ContentVideoUploadDTO,27,135,18,14,0,6,15,12,0,11
G07-EsiMedia-PI-User-Backend,com.esimedia.features.content.dto,ContentAudioUploadDTO,29,133,18,14,0,6,15,12,0,11
G07-EsiMedia-PI-User-Backend,com.esimedia.features.content.dto,ContentUploadDTO,190,494,66,60,1,17,58,41,2,34
G07-EsiMedia-PI-User-Backend,com.esimedia.features.content.dto,TokenDTO.Builder,0,93,0,0,0,41,0,12,0,12
G07-EsiMedia-PI-User-Backend,com.esimedia.features.content.dto,TokenDTO,47,396,35,43,0,23,28,36,0,25
G07-EsiMedia-PI-User-Backend,com.esimedia.features.user_registration.http,RegistrationController,234,0,4,0,51,0,8,0,6,0
G07-EsiMedia-PI-User-Backend,com.esimedia.features.favoritos.services,FavoritoService,0,148,1,7,0,44,1,8,0,5
G07-EsiMedia-PI-User-Backend,com.esimedia.features.lists.http,PrivateListController,243,91,6,0,69,29,9,4,6,4
G07-EsiMedia-PI-User-Backend,com.esimedia.features.lists.http,PublicListController,269,60,3,1,78,18,10,3,8,3
G07-EsiMedia-PI-User-Backend,com.esimedia,EsiMediaApplication,25,3,0,0,4,1,1,1,1,1
G07-EsiMedia-PI-User-Backend,com.esimedia,ServletInitializer,12,0,0,0,2,0,2,0,2,0
G07-EsiMedia-PI-User-Backend,com.esimedia.shared.validation,BaseEmailValidator,12,0,0,0,4,0,4,0,4,0
G07-EsiMedia-PI-User-Backend,com.esimedia.shared.validation,ValidEmailDomainValidator,20,0,4,0,6,0,6,0,4,0
G07-EsiMedia-PI-User-Backend,com.esimedia.shared.util,ContentValidationUtil,26,0,4,0,8,0,4,0,2,0
G07-EsiMedia-PI-User-Backend,com.esimedia.shared.util,JwtValidationUtil,254,4,14,0,67,1,22,1,14,1
G07-EsiMedia-PI-User-Backend,com.esimedia.shared.util,ContentProcessingUtil,22,28,4,2,6,8,3,4,0,4
G07-EsiMedia-PI-User-Backend,com.esimedia.shared.util,ContentTagProcessor,61,83,6,2,10,25,9,4,5,4
G07-EsiMedia-PI-User-Backend,com.esimedia.shared.util,ContentUtil,90,57,20,10,25,14,18,8,5,6
G07-EsiMedia-PI-User-Backend,com.esimedia.shared.util,JwtUtil,155,0,4,0,39,0,13,0,11,0
G07-EsiMedia-PI-User-Backend,com.esimedia.features.user_registration.services,UserRegistrationService,110,432,2,14,32,98,3,15,1,9
G07-EsiMedia-PI-User-Backend,com.esimedia.features.notifications.scheduler,ExpiringContentScheduler,350,0,28,0,78,0,20,0,6,0
G07-EsiMedia-PI-User-Backend,com.esimedia.features.notifications.enums,NotificationSubtype,0,33,0,0,0,6,0,1,0,1
G07-EsiMedia-PI-User-Backend,com.esimedia.features.notifications.enums,NotificationType,0,15,0,0,0,3,0,1,0,1
G07-EsiMedia-PI-User-Backend,com.esimedia.features.auth.entity,Administrador.AdministradorBuilderImpl,0,7,0,0,0,1,0,2,0,2
G07-EsiMedia-PI-User-Backend,com.esimedia.features.auth.entity,CreadorContenido.CreadorContenidoBuilder,17,39,0,0,0,1,1,7,1,7
G07-EsiMedia-PI-User-Backend,com.esimedia.features.auth.entity,UsuarioNormal.UsuarioNormalBuilderImpl,0,7,0,0,0,1,0,2,0,2
G07-EsiMedia-PI-User-Backend,com.esimedia.features.auth.entity,Administrador,2,92,1,15,0,5,1,16,0,9
G07-EsiMedia-PI-User-Backend,com.esimedia.features.auth.entity,UsuarioNormal,24,164,7,21,0,8,8,21,1,14
G07-EsiMedia-PI-User-Backend,com.esimedia.features.auth.entity,Usuario,70,785,35,101,0,33,34,80,2,44
G07-EsiMedia-PI-User-Backend,com.esimedia.features.auth.entity,UsuarioFactory,0,207,2,14,0,52,2,9,0,3
